seals.sealions,dolphins.porpoises,toothed.baleen
Steller (northern) sea lion,Atlantic white-sided dolphin,North Atlantic right whale
California sea lion,Pacific white-sided dolphin,Gray whale
Northern (Pribilof) fur seal,Common dolphin,Fin whale
Harbor seal,Bottlenose dolphin,Minke whale
Spotted seal,Grampus (Risso's) dolphin,Humpback whale
Ringed seal,Spotted dolphin,Sperm whale
Ribbon seal,Spinner dolphin,Beluga whale
Gray seal,Striped dolphin,False killer whale
Hawaiian monk seal,Northern right whale dolphin,Killer whale
Northern elephant seal,Harbor porpoise,Pilot whale
Bearded seal,Dall's porpoise,Beaked whale
Harp seal,Rough-toothed dolphin,Bryde's whale
Hooded seal,,Dwarf sperm whale
